order_id,amount,created_at,status,stripe_session_id,ticket_id,updated_at,user_id
1,21000.00,2025-07-21 10:40:13.544476,SUCCESSFUL,pi_3RnAaLR1Z2NQalNL1fn2tKHo,7,2025-07-21 10:40:51.705725,1
2,21000.00,2025-07-21 10:55:23.796619,SUCCESSFUL,pi_3RnAp1R1Z2NQalNL2Mvmmbcz,8,2025-07-21 10:55:57.67328,1
3,21000.00,2025-07-21 11:25:27.328102,PENDING,pi_3RnBI6R1Z2NQalNL2H43zWwJ,9,,1
4,21000.00,2025-07-21 15:59:16.701387,PENDING,,10,,4
5,21000.00,2025-07-21 15:59:22.894423,PENDING,,11,,4
6,21000.00,2025-07-21 15:59:30.977655,PENDING,,12,,4
7,18000.00,2025-07-21 16:01:14.697832,SUCCESSFUL,,13,2025-07-21 16:06:14.037467,4
8,300000.00,2025-07-21 16:09:01.581884,SUCCESSFUL,,14,2025-07-21 16:09:29.208255,4
9,18000.00,2025-07-21 16:36:46.741293,SUCCESSFUL,,1,2025-07-21 16:37:44.760917,4
10,50000.00,2025-07-21 18:20:58.984525,PENDING,,1,,9
11,50000.00,2025-07-21 18:26:51.106664,PENDING,,2,,9
12,50000.00,2025-07-21 18:29:48.18368,PENDING,,3,,9
13,50000.00,2025-07-21 18:29:54.219482,PENDING,,4,,9
14,50000.00,2025-07-21 18:29:56.015069,PENDING,,5,,9
15,50000.00,2025-07-21 18:30:03.58415,PENDING,,6,,9
16,300000.00,2025-07-21 18:31:28.281919,PENDING,,7,,9
17,50000.00,2025-07-21 18:34:08.253729,PENDING,,8,,9
18,20000.00,2025-07-21 18:48:48.495688,PENDING,,9,,9
19,20000.00,2025-07-21 18:52:28.40976,PENDING,,10,,9
20,20000.00,2025-07-21 18:56:11.6091,PENDING,,11,,9
21,20000.00,2025-07-21 18:58:06.537872,PENDING,,12,,9
22,20000.00,2025-07-21 19:14:55.285375,PENDING,,1,,9
23,20000.00,2025-07-21 19:16:01.822364,PENDING,,2,,11
24,20000.00,2025-07-21 19:16:14.428997,FAILED,,3,2025-07-21 19:18:10.456865,11
25,20000.00,2025-07-21 19:20:01.701575,PENDING,,4,,9
26,300000.00,2025-07-21 19:21:22.21489,PENDING,,5,,11
27,300000.00,2025-07-21 19:21:27.646396,PENDING,,6,,11
28,300000.00,2025-07-21 19:21:31.601159,PENDING,,7,,11
29,300000.00,2025-07-21 19:21:32.947474,PENDING,,8,,11
30,300000.00,2025-07-21 19:21:33.469148,PENDING,,9,,11
31,300000.00,2025-07-21 19:21:33.927867,PENDING,,10,,11
32,300000.00,2025-07-21 19:21:34.261209,PENDING,,11,,11
33,300000.00,2025-07-21 19:21:34.683805,PENDING,,12,,11
34,300000.00,2025-07-21 19:21:35.079344,PENDING,,13,,11
35,300000.00,2025-07-21 19:21:35.579823,PENDING,,14,,11
36,300000.00,2025-07-21 19:21:36.007524,PENDING,,15,,11
37,300000.00,2025-07-21 19:21:36.451091,PENDING,,16,,11
38,300000.00,2025-07-21 19:21:36.907452,PENDING,,17,,11
39,300000.00,2025-07-21 19:21:37.461745,PENDING,,18,,11
40,300000.00,2025-07-21 19:21:38.043207,PENDING,,19,,11
41,300000.00,2025-07-21 19:21:54.749309,PENDING,,20,,11
42,300000.00,2025-07-21 19:21:55.192172,PENDING,,21,,11
43,300000.00,2025-07-21 19:21:55.752916,PENDING,,22,,11
44,300000.00,2025-07-21 19:21:56.278784,PENDING,,23,,11
45,300000.00,2025-07-21 19:21:56.83736,PENDING,,24,,11
46,300000.00,2025-07-21 19:21:57.242982,PENDING,,25,,11
47,300000.00,2025-07-21 19:22:03.991233,PENDING,,26,,11
48,300000.00,2025-07-21 19:22:04.459212,PENDING,,27,,11
49,300000.00,2025-07-21 19:22:04.938686,PENDING,,28,,11
50,300000.00,2025-07-21 19:22:05.358602,PENDING,,29,,11
51,300000.00,2025-07-21 19:22:05.670134,PENDING,,30,,11
52,300000.00,2025-07-21 19:22:06.011163,PENDING,,31,,11
53,300000.00,2025-07-21 19:22:06.343369,PENDING,,32,,11
54,300000.00,2025-07-21 19:22:06.728509,PENDING,,33,,11
55,300000.00,2025-07-21 19:22:07.077895,PENDING,,34,,11
56,300000.00,2025-07-21 19:22:07.402047,PENDING,,35,,11
57,300000.00,2025-07-21 19:22:07.73995,PENDING,,36,,11
58,300000.00,2025-07-21 19:22:08.075328,PENDING,,37,,11
59,300000.00,2025-07-21 19:22:08.432552,PENDING,,38,,11
60,300000.00,2025-07-21 19:22:08.76167,PENDING,,39,,11
