time_arrival,time_departure,created_at,schedule_id,station_route_id,updated_at,description,direction
05:00:00,05:01:00,2025-07-21 11:33:13.535057,1,1,2025-07-21 11:33:13.535057,Chuyến đi lúc 05:00 - Trạm,forward
05:02:00,05:03:00,2025-07-21 11:33:14.036915,2,2,2025-07-21 11:33:14.036915,Chuyến đi lúc 05:00 - Trạm,forward
05:04:00,05:05:00,2025-07-21 11:33:15.031988,3,3,2025-07-21 11:33:15.031988,Chuyến đi lúc 05:00 - Trạm,forward
05:06:00,05:07:00,2025-07-21 11:33:15.778562,4,4,2025-07-21 11:33:15.778562,Chuyến đi lúc 05:00 - Trạm,forward
05:08:00,05:09:00,2025-07-21 11:33:16.127647,5,5,2025-07-21 11:33:16.127647,Chuyến đi lúc 05:00 - Trạm,forward
05:10:00,05:11:00,2025-07-21 11:33:16.587341,6,6,2025-07-21 11:33:16.587341,Chuyến đi lúc 05:00 - Trạm,forward
05:12:00,05:13:00,2025-07-21 11:33:17.137541,7,7,2025-07-21 11:33:17.137541,Chuyến đi lúc 05:00 - Trạm,forward
05:14:00,05:15:00,2025-07-21 11:33:17.618989,8,8,2025-07-21 11:33:17.618989,Chuyến đi lúc 05:00 - Trạm,forward
05:16:00,05:17:00,2025-07-21 11:33:18.144597,9,9,2025-07-21 11:33:18.144597,Chuyến đi lúc 05:00 - Trạm,forward
05:18:00,05:19:00,2025-07-21 11:33:18.56016,10,10,2025-07-21 11:33:18.56016,Chuyến đi lúc 05:00 - Trạm,forward
05:20:00,05:21:00,2025-07-21 11:33:19.147729,11,11,2025-07-21 11:33:19.147729,Chuyến đi lúc 05:00 - Trạm,forward
05:22:00,05:23:00,2025-07-21 11:33:19.797382,12,12,2025-07-21 11:33:19.797382,Chuyến đi lúc 05:00 - Trạm,forward
05:24:00,05:25:00,2025-07-21 11:33:20.504692,13,13,2025-07-21 11:33:20.504692,Chuyến đi lúc 05:00 - Trạm,forward
05:26:00,05:27:00,2025-07-21 11:33:21.447213,14,14,2025-07-21 11:33:21.447213,Chuyến đi lúc 05:00 - Trạm,forward
05:30:00,05:31:00,2025-07-21 11:33:21.958287,15,1,2025-07-21 11:33:21.958287,Chuyến đi lúc 05:30 - Trạm,forward
05:32:00,05:33:00,2025-07-21 11:33:23.271914,16,2,2025-07-21 11:33:23.271914,Chuyến đi lúc 05:30 - Trạm,forward
05:34:00,05:35:00,2025-07-21 11:33:24.085109,17,3,2025-07-21 11:33:24.085109,Chuyến đi lúc 05:30 - Trạm,forward
05:36:00,05:37:00,2025-07-21 11:33:24.727172,18,4,2025-07-21 11:33:24.727172,Chuyến đi lúc 05:30 - Trạm,forward
05:38:00,05:39:00,2025-07-21 11:33:25.116956,19,5,2025-07-21 11:33:25.116956,Chuyến đi lúc 05:30 - Trạm,forward
05:40:00,05:41:00,2025-07-21 11:33:25.748018,20,6,2025-07-21 11:33:25.748018,Chuyến đi lúc 05:30 - Trạm,forward
05:42:00,05:43:00,2025-07-21 11:33:26.246023,21,7,2025-07-21 11:33:26.246023,Chuyến đi lúc 05:30 - Trạm,forward
05:44:00,05:45:00,2025-07-21 11:33:26.656952,22,8,2025-07-21 11:33:26.656952,Chuyến đi lúc 05:30 - Trạm,forward
05:46:00,05:47:00,2025-07-21 11:33:27.766872,23,9,2025-07-21 11:33:27.766872,Chuyến đi lúc 05:30 - Trạm,forward
05:48:00,05:49:00,2025-07-21 11:33:28.219501,24,10,2025-07-21 11:33:28.219501,Chuyến đi lúc 05:30 - Trạm,forward
