actual_price,in_trip,created_at,fare_matrix_id,ticket_id,ticket_type_id,updated_at,valid_from,valid_until,ticket_code,name,status
20000,false,2025-07-21 19:14:55.00426,,1,1,2025-07-21 19:14:55.00426,2025-07-21 19:14:55.00426,2025-08-20 19:14:55.00426,MT20250721191455DD679,Vé 1 ngày,PENDING
20000,false,2025-07-21 19:16:01.630312,,2,2,2025-07-21 19:16:01.630312,2025-07-21 19:16:01.625176,2025-08-20 19:16:01.625176,MT2025072119160119366,Vé 1 ngày,PENDING
20000,false,2025-07-21 19:16:14.316419,,3,3,2025-07-21 19:18:10.38206,2025-07-21 19:16:14.316419,2025-08-20 19:16:14.316419,MT2025072119161458574,Vé 1 ngày,CANCELLED
20000,false,2025-07-21 19:20:01.495127,,4,4,2025-07-21 19:20:01.495127,2025-07-21 19:20:01.495127,2025-08-20 19:20:01.495127,MT20250721192001330C5,Vé 1 ngày,PENDING
300000,false,2025-07-21 19:21:21.828634,,5,5,2025-07-21 19:21:21.828634,2025-07-21 19:21:21.828634,2025-08-20 19:21:21.828634,MT202507211921210C265,Vé tháng,PENDING
300000,false,2025-07-21 19:21:27.543162,,6,6,2025-07-21 19:21:27.543162,2025-07-21 19:21:27.543162,2025-08-20 19:21:27.543162,MT2025072119212759E5C,Vé tháng,PENDING
300000,false,2025-07-21 19:21:31.503068,,7,5,2025-07-21 19:21:31.503068,2025-07-21 19:21:31.502099,2025-08-20 19:21:31.502099,MT20250721192131EF51B,Vé tháng,PENDING
300000,false,2025-07-21 19:21:32.840153,,8,5,2025-07-21 19:21:32.840153,2025-07-21 19:21:32.839385,2025-08-20 19:21:32.839385,MT20250721192132389AB,Vé tháng,PENDING
300000,false,2025-07-21 19:21:33.366025,,9,6,2025-07-21 19:21:33.366025,2025-07-21 19:21:33.366025,2025-08-20 19:21:33.366025,MT20250721192133C6681,Vé tháng,PENDING
300000,false,2025-07-21 19:21:33.818474,,10,5,2025-07-21 19:21:33.818474,2025-07-21 19:21:33.818474,2025-08-20 19:21:33.818474,MT2025072119213389BFD,Vé tháng,PENDING
300000,false,2025-07-21 19:21:34.159405,,11,4,2025-07-21 19:21:34.159405,2025-07-21 19:21:34.158405,2025-08-20 19:21:34.158405,MT202507211921341A80A,Vé tháng,PENDING
300000,false,2025-07-21 19:21:34.580257,,12,4,2025-07-21 19:21:34.580257,2025-07-21 19:21:34.580257,2025-08-20 19:21:34.580257,MT2025072119213415CEE,Vé tháng,PENDING
300000,false,2025-07-21 19:21:34.916882,,13,6,2025-07-21 19:21:34.916882,2025-07-21 19:21:34.915886,2025-08-20 19:21:34.915886,MT2025072119213431F77,Vé tháng,PENDING
300000,false,2025-07-21 19:21:35.390233,,14,1,2025-07-21 19:21:35.390233,2025-07-21 19:21:35.390233,2025-08-20 19:21:35.390233,MT2025072119213574961,Vé tháng,PENDING
300000,false,2025-07-21 19:21:35.875203,,15,1,2025-07-21 19:21:35.875203,2025-07-21 19:21:35.875203,2025-08-20 19:21:35.875203,MT20250721192135AFE13,Vé tháng,PENDING
300000,false,2025-07-21 19:21:36.328306,,16,2,2025-07-21 19:21:36.328306,2025-07-21 19:21:36.327783,2025-08-20 19:21:36.327783,MT20250721192136092C9,Vé tháng,PENDING
300000,false,2025-07-21 19:21:36.810141,,17,2,2025-07-21 19:21:36.810141,2025-07-21 19:21:36.810141,2025-08-20 19:21:36.810141,MT202507211921362921F,Vé tháng,PENDING
